Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,1,3.1108,5.4864,0.8489,-0.374,0.9565
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,2,3.6852,6.6212,0.7794,-0.5396,0.9342
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,3,4.181,7.5678,0.7114,0.0966,0.9156
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,4,4.6774,8.4045,0.6435,0.7247,0.9007
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,5,5.08,9.0337,0.5871,1.3172,0.8898
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,6,5.2589,9.4815,0.543,1.4485,0.8842
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,7,5.2767,9.4724,0.5404,1.443,0.884
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,8,5.2336,9.2835,0.5561,1.3792,0.887
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,9,4.9993,8.8729,0.5943,0.693,0.8902
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,10,5.0343,8.9799,0.5844,0.8183,0.8883
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,11,5.1873,9.2166,0.5618,1.3365,0.8867
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,12,5.0994,9.1348,0.57,1.1014,0.8879
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,13,5.2555,9.3093,0.5533,1.5947,0.8879
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,14,5.4381,9.7217,0.514,1.9673,0.8852
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,15,5.5934,10.0966,0.4778,2.2999,0.8807
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,16,5.6295,10.3148,0.4564,2.2727,0.8786
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,17,5.5172,10.089,0.4787,2.0546,0.8812
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,18,5.1773,9.3361,0.5509,1.3467,0.8895
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,19,5.1517,9.236,0.558,1.3922,0.8903
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,20,5.1017,9.1233,0.5674,1.327,0.8904
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,21,5.1042,9.1493,0.5659,1.3708,0.8905
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,22,5.2349,9.4019,0.5426,1.7119,0.8896
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,23,5.2768,9.5436,0.5286,1.7743,0.8888
C2_CNN_LSTM_pfxf,MzOtwoBrzozo,24,5.3429,9.6974,0.5149,1.8806,0.886
