Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C1_XGBoost_pfxf,MzLegZegrzyn,1,1.6881,3.5192,0.9099,-0.1102,0.9759
C1_HGB_pfxf,MzLegZegrzyn,1,1.6975,3.5571,0.908,-0.0889,0.9755
C1_XGBoost_pfxf,MzLegZegrzyn,2,2.555,4.7815,0.8334,-0.0792,0.9533
C1_HGB_pfxf,MzLegZegrzyn,2,2.561,4.7816,0.8334,-0.0274,0.954
C1_XGBoost_pfxf,MzLegZegrzyn,3,3.1544,5.571,0.7738,0.0129,0.9345
C1_HGB_pfxf,MzLegZegrzyn,3,3.1529,5.6009,0.7714,0.0821,0.9345
C1_XGBoost_pfxf,MzLegZegrzyn,4,3.5026,6.0597,0.7319,0.2472,0.9227
C1_HGB_pfxf,MzLegZegrzyn,4,3.567,6.2015,0.7192,0.1799,0.9165
C1_XGBoost_pfxf,MzLegZegrzyn,5,3.7909,6.4399,0.6964,0.356,0.9105
C1_HGB_pfxf,MzLegZegrzyn,5,3.8438,6.512,0.6896,0.2281,0.9052
C1_XGBoost_pfxf,MzLegZegrzyn,6,4.0491,6.7083,0.6706,0.5217,0.9013
C1_HGB_pfxf,MzLegZegrzyn,6,4.1094,6.8859,0.653,0.3373,0.8917
C1_XGBoost_pfxf,MzLegZegrzyn,7,4.2401,6.9239,0.6481,0.6562,0.894
C1_HGB_pfxf,MzLegZegrzyn,7,4.2829,7.0508,0.6351,0.4352,0.8843
C1_XGBoost_pfxf,MzLegZegrzyn,8,4.3891,7.121,0.6275,0.8421,0.8894
C1_HGB_pfxf,MzLegZegrzyn,8,4.4664,7.259,0.613,0.6588,0.8796
C1_XGBoost_pfxf,MzLegZegrzyn,9,4.575,7.4098,0.5978,1.004,0.8812
C1_HGB_pfxf,MzLegZegrzyn,9,4.6435,7.5611,0.5812,0.8295,0.8701
C1_XGBoost_pfxf,MzLegZegrzyn,10,4.6958,7.5918,0.5785,1.1391,0.8751
C1_HGB_pfxf,MzLegZegrzyn,10,4.8089,7.7581,0.5598,1.1462,0.8683
C1_XGBoost_pfxf,MzLegZegrzyn,11,4.7598,7.6822,0.5693,1.153,0.8701
C1_HGB_pfxf,MzLegZegrzyn,11,4.8664,7.8672,0.5483,1.1638,0.864
C1_XGBoost_pfxf,MzLegZegrzyn,12,4.843,7.7784,0.5602,1.199,0.8662
C1_HGB_pfxf,MzLegZegrzyn,12,4.958,8.0774,0.5257,1.2834,0.8595
C1_XGBoost_pfxf,MzLegZegrzyn,13,4.9181,7.8832,0.5489,1.241,0.863
C1_HGB_pfxf,MzLegZegrzyn,13,4.9938,8.147,0.5182,1.2212,0.8536
C1_XGBoost_pfxf,MzLegZegrzyn,14,4.9592,7.9276,0.5448,1.3511,0.8638
C1_HGB_pfxf,MzLegZegrzyn,14,5.0693,8.1966,0.5134,1.3215,0.8542
C1_XGBoost_pfxf,MzLegZegrzyn,15,4.981,7.9644,0.5421,1.3641,0.8624
C1_HGB_pfxf,MzLegZegrzyn,15,5.0528,8.145,0.5211,1.3917,0.8554
C1_XGBoost_pfxf,MzLegZegrzyn,16,5.0266,8.016,0.5362,1.4742,0.8614
C1_HGB_pfxf,MzLegZegrzyn,16,5.0905,8.1799,0.5171,1.4285,0.8547
C1_XGBoost_pfxf,MzLegZegrzyn,17,5.0319,7.9646,0.5425,1.4848,0.8638
C1_HGB_pfxf,MzLegZegrzyn,17,5.117,8.13,0.5233,1.5248,0.857
C1_XGBoost_pfxf,MzLegZegrzyn,18,5.1209,8.0751,0.5281,1.5723,0.8595
C1_HGB_pfxf,MzLegZegrzyn,18,5.182,8.2383,0.5088,1.4808,0.8502
C1_XGBoost_pfxf,MzLegZegrzyn,19,5.105,8.0615,0.5302,1.5051,0.8572
C1_HGB_pfxf,MzLegZegrzyn,19,5.1556,8.1283,0.5224,1.1893,0.8461
C1_XGBoost_pfxf,MzLegZegrzyn,20,5.1452,8.124,0.5233,1.5729,0.8553
C1_HGB_pfxf,MzLegZegrzyn,20,5.1565,8.0942,0.5268,1.2752,0.8489
C1_XGBoost_pfxf,MzLegZegrzyn,21,5.1665,8.1333,0.5233,1.6172,0.8577
C1_HGB_pfxf,MzLegZegrzyn,21,5.1367,8.0046,0.5383,1.2536,0.8532
C1_XGBoost_pfxf,MzLegZegrzyn,22,5.1381,8.1225,0.5242,1.5656,0.8574
C1_HGB_pfxf,MzLegZegrzyn,22,5.1553,7.9935,0.5392,1.3044,0.8537
C1_XGBoost_pfxf,MzLegZegrzyn,23,5.1529,8.089,0.528,1.4666,0.8565
C1_HGB_pfxf,MzLegZegrzyn,23,5.1839,8.0636,0.531,1.2905,0.8502
C1_XGBoost_pfxf,MzLegZegrzyn,24,5.1607,8.1025,0.5265,1.4297,0.855
C1_HGB_pfxf,MzLegZegrzyn,24,5.1995,8.1409,0.5219,1.2411,0.8469
