Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C1_XGBoost_pfxf,MzWarAlNiepo,1,1.306,2.097,0.9517,-0.1746,0.9872
C1_HGB_pfxf,MzWarAlNiepo,1,1.3191,2.1283,0.9502,-0.195,0.9868
C1_XGBoost_pfxf,MzWarAlNiepo,2,2.0945,3.2788,0.8817,-0.2266,0.9664
C1_HGB_pfxf,MzWarAlNiepo,2,2.094,3.2817,0.8815,-0.2235,0.9664
C1_XGBoost_pfxf,MzWarAlNiepo,3,2.6284,4.0726,0.8175,-0.1893,0.9454
C1_HGB_pfxf,MzWarAlNiepo,3,2.6369,4.1022,0.8149,-0.1997,0.9446
C1_XGBoost_pfxf,MzWarAlNiepo,4,3.0026,4.5967,0.7674,-0.0962,0.928
C1_HGB_pfxf,MzWarAlNiepo,4,3.0554,4.6285,0.7642,-0.0624,0.9283
C1_XGBoost_pfxf,MzWarAlNiepo,5,3.3129,5.0073,0.7237,-0.0083,0.9117
C1_HGB_pfxf,MzWarAlNiepo,5,3.3705,5.06,0.7178,0.0479,0.9114
C1_XGBoost_pfxf,MzWarAlNiepo,6,3.5404,5.3127,0.6888,0.0726,0.8985
C1_HGB_pfxf,MzWarAlNiepo,6,3.6108,5.4025,0.6782,0.1216,0.8962
C1_XGBoost_pfxf,MzWarAlNiepo,7,3.7367,5.6013,0.6538,0.1514,0.8847
C1_HGB_pfxf,MzWarAlNiepo,7,3.7975,5.6785,0.6442,0.2006,0.8826
C1_XGBoost_pfxf,MzWarAlNiepo,8,3.8872,5.7913,0.6298,0.2558,0.8757
C1_HGB_pfxf,MzWarAlNiepo,8,3.942,5.8975,0.6161,0.2981,0.8717
C1_XGBoost_pfxf,MzWarAlNiepo,9,4.0086,5.9311,0.6115,0.3636,0.8696
C1_HGB_pfxf,MzWarAlNiepo,9,4.0448,6.0352,0.5978,0.3861,0.8665
C1_XGBoost_pfxf,MzWarAlNiepo,10,4.1058,6.0626,0.5938,0.4843,0.8636
C1_HGB_pfxf,MzWarAlNiepo,10,4.1467,6.1067,0.5879,0.5397,0.8643
C1_XGBoost_pfxf,MzWarAlNiepo,11,4.1872,6.1874,0.5772,0.527,0.8569
C1_HGB_pfxf,MzWarAlNiepo,11,4.2483,6.2585,0.5674,0.6031,0.8551
C1_XGBoost_pfxf,MzWarAlNiepo,12,4.2851,6.309,0.5608,0.6067,0.85
C1_HGB_pfxf,MzWarAlNiepo,12,4.3526,6.3951,0.5487,0.6762,0.8463
C1_XGBoost_pfxf,MzWarAlNiepo,13,4.3854,6.4239,0.5451,0.6517,0.8441
C1_HGB_pfxf,MzWarAlNiepo,13,4.4459,6.5146,0.5322,0.7162,0.8381
C1_XGBoost_pfxf,MzWarAlNiepo,14,4.4312,6.5112,0.5337,0.684,0.8388
C1_HGB_pfxf,MzWarAlNiepo,14,4.4782,6.6227,0.5176,0.7074,0.8318
C1_XGBoost_pfxf,MzWarAlNiepo,15,4.4884,6.5962,0.522,0.7105,0.8342
C1_HGB_pfxf,MzWarAlNiepo,15,4.5184,6.652,0.5138,0.806,0.8319
C1_XGBoost_pfxf,MzWarAlNiepo,16,4.4935,6.6163,0.5192,0.738,0.8319
C1_HGB_pfxf,MzWarAlNiepo,16,4.5554,6.7364,0.5016,0.7007,0.8247
C1_XGBoost_pfxf,MzWarAlNiepo,17,4.564,6.7293,0.5023,0.8128,0.8266
C1_HGB_pfxf,MzWarAlNiepo,17,4.5755,6.7325,0.5018,0.8307,0.8274
C1_XGBoost_pfxf,MzWarAlNiepo,18,4.5699,6.7369,0.5007,0.8606,0.8257
C1_HGB_pfxf,MzWarAlNiepo,18,4.6072,6.7211,0.5031,0.9626,0.8293
C1_XGBoost_pfxf,MzWarAlNiepo,19,4.6466,6.8502,0.4835,1.0203,0.8231
C1_HGB_pfxf,MzWarAlNiepo,19,4.716,6.8584,0.4823,1.0024,0.8188
C1_XGBoost_pfxf,MzWarAlNiepo,20,4.7026,6.9192,0.473,1.0332,0.8185
C1_HGB_pfxf,MzWarAlNiepo,20,4.7238,6.8403,0.485,0.983,0.8208
C1_XGBoost_pfxf,MzWarAlNiepo,21,4.6978,6.8961,0.477,1.0941,0.8202
C1_HGB_pfxf,MzWarAlNiepo,21,4.789,6.8676,0.4813,1.1416,0.8205
C1_XGBoost_pfxf,MzWarAlNiepo,22,4.7121,6.9221,0.4732,1.0106,0.8164
C1_HGB_pfxf,MzWarAlNiepo,22,4.8316,6.9604,0.4673,1.1219,0.8144
C1_XGBoost_pfxf,MzWarAlNiepo,23,4.7091,6.8976,0.4766,1.0313,0.8182
C1_HGB_pfxf,MzWarAlNiepo,23,4.8152,6.9233,0.4727,1.1269,0.8158
C1_XGBoost_pfxf,MzWarAlNiepo,24,4.7609,7.0035,0.4613,1.0273,0.8107
C1_HGB_pfxf,MzWarAlNiepo,24,4.8344,7.033,0.4567,1.0808,0.8087
