Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C2_CNN_LSTM_pfxf,MzWarWokalna,1,2.7844,4.0005,0.7946,-0.6,0.9374
C2_CNN_LSTM_pfxf,MzWarWokalna,2,3.0343,4.3224,0.7597,-0.1513,0.929
C2_CNN_LSTM_pfxf,MzWarWokalna,3,3.3163,4.723,0.7126,-0.1532,0.9137
C2_CNN_LSTM_pfxf,MzWarWokalna,4,3.5761,5.0895,0.6656,-0.0823,0.8993
C2_CNN_LSTM_pfxf,MzWarWokalna,5,3.7828,5.4181,0.6201,-0.2768,0.8855
C2_CNN_LSTM_pfxf,MzWarWokalna,6,3.9803,5.7329,0.5739,-0.0645,0.8734
C2_CNN_LSTM_pfxf,MzWarWokalna,7,4.0538,5.8644,0.5534,-0.0334,0.8692
C2_CNN_LSTM_pfxf,MzWarWokalna,8,4.1604,6.0533,0.5235,0.2472,0.8643
C2_CNN_LSTM_pfxf,MzWarWokalna,9,4.2147,6.1507,0.5071,0.1935,0.8603
C2_CNN_LSTM_pfxf,MzWarWokalna,10,4.2639,6.2423,0.4921,0.2343,0.8556
C2_CNN_LSTM_pfxf,MzWarWokalna,11,4.2866,6.3017,0.4841,0.1433,0.8532
C2_CNN_LSTM_pfxf,MzWarWokalna,12,4.185,6.1615,0.5083,-0.2282,0.8552
C2_CNN_LSTM_pfxf,MzWarWokalna,13,4.1978,6.2057,0.5026,-0.2398,0.8536
C2_CNN_LSTM_pfxf,MzWarWokalna,14,4.1891,6.2042,0.5041,-0.3202,0.8524
C2_CNN_LSTM_pfxf,MzWarWokalna,15,4.1545,6.1459,0.5146,-0.4001,0.8533
C2_CNN_LSTM_pfxf,MzWarWokalna,16,4.1644,6.1749,0.5107,-0.3713,0.8531
C2_CNN_LSTM_pfxf,MzWarWokalna,17,4.1215,6.1091,0.5214,-0.8768,0.8489
C2_CNN_LSTM_pfxf,MzWarWokalna,18,4.1038,6.1073,0.5207,-0.7159,0.8498
C2_CNN_LSTM_pfxf,MzWarWokalna,19,4.0918,6.0915,0.5211,-0.7017,0.8516
C2_CNN_LSTM_pfxf,MzWarWokalna,20,4.1164,6.1111,0.517,-0.3445,0.8553
C2_CNN_LSTM_pfxf,MzWarWokalna,21,4.1246,6.1174,0.5157,-0.2663,0.8554
C2_CNN_LSTM_pfxf,MzWarWokalna,22,4.1605,6.1861,0.5047,-0.0316,0.8579
C2_CNN_LSTM_pfxf,MzWarWokalna,23,4.136,6.1601,0.5096,-0.2208,0.8555
C2_CNN_LSTM_pfxf,MzWarWokalna,24,4.2008,6.2616,0.494,-0.194,0.8506
