Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C1_XGBoost_pfxf,MzWarWokalna,1,1.1886,1.8359,0.957,-0.4523,0.9886
C1_HGB_pfxf,MzWarWokalna,1,1.1881,1.8367,0.9569,-0.4251,0.9887
C1_XGBoost_pfxf,MzWarWokalna,2,1.9231,2.9583,0.8882,-0.708,0.9684
C1_HGB_pfxf,MzWarWokalna,2,1.9274,2.9406,0.8895,-0.6715,0.9692
C1_XGBoost_pfxf,MzWarWokalna,3,2.3943,3.6335,0.8314,-0.7567,0.9506
C1_HGB_pfxf,MzWarWokalna,3,2.3966,3.6391,0.8308,-0.7371,0.9507
C1_XGBoost_pfxf,MzWarWokalna,4,2.7033,4.0817,0.7869,-0.7704,0.9354
C1_HGB_pfxf,MzWarWokalna,4,2.7169,4.0694,0.7882,-0.7338,0.9363
C1_XGBoost_pfxf,MzWarWokalna,5,2.9618,4.4298,0.7485,-0.7355,0.9217
C1_HGB_pfxf,MzWarWokalna,5,2.9905,4.459,0.7452,-0.7155,0.9208
C1_XGBoost_pfxf,MzWarWokalna,6,3.1693,4.7169,0.7144,-0.6369,0.9094
C1_HGB_pfxf,MzWarWokalna,6,3.1838,4.7277,0.713,-0.6326,0.9096
C1_XGBoost_pfxf,MzWarWokalna,7,3.3189,4.9115,0.69,-0.6004,0.899
C1_HGB_pfxf,MzWarWokalna,7,3.3389,4.9051,0.6908,-0.6198,0.9
C1_XGBoost_pfxf,MzWarWokalna,8,3.4763,5.128,0.6619,-0.5439,0.8884
C1_HGB_pfxf,MzWarWokalna,8,3.4719,5.0909,0.6668,-0.5604,0.8917
C1_XGBoost_pfxf,MzWarWokalna,9,3.5583,5.2441,0.6461,-0.4837,0.8836
C1_HGB_pfxf,MzWarWokalna,9,3.5812,5.2597,0.644,-0.5063,0.8831
C1_XGBoost_pfxf,MzWarWokalna,10,3.6892,5.3791,0.6277,-0.4761,0.8771
C1_HGB_pfxf,MzWarWokalna,10,3.682,5.3809,0.6274,-0.4394,0.8784
C1_XGBoost_pfxf,MzWarWokalna,11,3.7835,5.5167,0.6096,-0.3573,0.8713
C1_HGB_pfxf,MzWarWokalna,11,3.7451,5.4604,0.6175,-0.3454,0.8751
C1_XGBoost_pfxf,MzWarWokalna,12,3.8777,5.67,0.5884,-0.3035,0.864
C1_HGB_pfxf,MzWarWokalna,12,3.8627,5.6303,0.5941,-0.3179,0.8673
C1_XGBoost_pfxf,MzWarWokalna,13,3.9265,5.7682,0.5748,-0.3277,0.8586
C1_HGB_pfxf,MzWarWokalna,13,3.8999,5.7365,0.5795,-0.2868,0.8618
C1_XGBoost_pfxf,MzWarWokalna,14,3.9628,5.8694,0.5606,-0.3271,0.8524
C1_HGB_pfxf,MzWarWokalna,14,3.9546,5.8315,0.5663,-0.2715,0.8566
C1_XGBoost_pfxf,MzWarWokalna,15,3.9864,5.9019,0.5564,-0.2739,0.8512
C1_HGB_pfxf,MzWarWokalna,15,3.9843,5.866,0.5617,-0.2643,0.8543
C1_XGBoost_pfxf,MzWarWokalna,16,3.9651,5.8689,0.5614,-0.2327,0.8529
C1_HGB_pfxf,MzWarWokalna,16,4.0063,5.8862,0.5588,-0.1866,0.8537
C1_XGBoost_pfxf,MzWarWokalna,17,4.0076,5.9269,0.554,-0.2237,0.849
C1_HGB_pfxf,MzWarWokalna,17,4.0059,5.91,0.5565,-0.1561,0.8518
C1_XGBoost_pfxf,MzWarWokalna,18,4.0381,5.9822,0.5452,-0.1783,0.8456
C1_HGB_pfxf,MzWarWokalna,18,4.014,5.9514,0.5499,-0.1208,0.8493
C1_XGBoost_pfxf,MzWarWokalna,19,4.0578,6.0392,0.5357,-0.0682,0.8453
C1_HGB_pfxf,MzWarWokalna,19,4.0227,5.909,0.5555,-0.1082,0.8505
C1_XGBoost_pfxf,MzWarWokalna,20,4.0886,6.0748,0.5305,-0.038,0.843
C1_HGB_pfxf,MzWarWokalna,20,4.0558,5.9676,0.5469,-0.0372,0.8496
C1_XGBoost_pfxf,MzWarWokalna,21,4.0771,6.0754,0.5312,-0.0604,0.8437
C1_HGB_pfxf,MzWarWokalna,21,4.0877,6.0531,0.5346,-0.0863,0.8428
C1_XGBoost_pfxf,MzWarWokalna,22,4.0757,6.0459,0.5362,0.0572,0.8477
C1_HGB_pfxf,MzWarWokalna,22,4.0877,6.0271,0.5391,-0.0419,0.8444
C1_XGBoost_pfxf,MzWarWokalna,23,4.0742,6.0735,0.5331,-0.0406,0.8433
C1_HGB_pfxf,MzWarWokalna,23,4.1166,6.0974,0.5294,-0.1046,0.8407
C1_XGBoost_pfxf,MzWarWokalna,24,4.1024,6.1057,0.5283,-0.0567,0.8403
C1_HGB_pfxf,MzWarWokalna,24,4.1263,6.1088,0.5278,-0.1354,0.8393
