Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C1_XGBoost_pfxf,MzWarBajkowa,1,1.4963,2.5722,0.942,-0.5991,0.9846
C1_HGB_pfxf,MzWarBajkowa,1,1.5385,2.6227,0.9397,-0.5687,0.9841
C1_XGBoost_pfxf,MzWarBajkowa,2,2.2952,3.7441,0.8769,-0.8739,0.9659
C1_HGB_pfxf,MzWarBajkowa,2,2.3635,3.7958,0.8735,-0.8282,0.9652
C1_XGBoost_pfxf,MzWarBajkowa,3,2.7922,4.464,0.8249,-0.8864,0.9503
C1_HGB_pfxf,MzWarBajkowa,3,2.8747,4.558,0.8175,-0.8338,0.9482
C1_XGBoost_pfxf,MzWarBajkowa,4,3.1511,4.9858,0.7809,-0.8085,0.9362
C1_HGB_pfxf,MzWarBajkowa,4,3.2416,5.0902,0.7716,-0.7727,0.9335
C1_XGBoost_pfxf,MzWarBajkowa,5,3.4097,5.3936,0.7429,-0.7079,0.9234
C1_HGB_pfxf,MzWarBajkowa,5,3.4934,5.5099,0.7317,-0.7392,0.9193
C1_XGBoost_pfxf,MzWarBajkowa,6,3.6328,5.7296,0.7089,-0.6188,0.9115
C1_HGB_pfxf,MzWarBajkowa,6,3.6925,5.8189,0.6997,-0.6325,0.9091
C1_XGBoost_pfxf,MzWarBajkowa,7,3.8115,6.0092,0.6788,-0.5071,0.9016
C1_HGB_pfxf,MzWarBajkowa,7,3.8534,6.0516,0.6742,-0.52,0.9001
C1_XGBoost_pfxf,MzWarBajkowa,8,3.932,6.1629,0.6605,-0.3596,0.8965
C1_HGB_pfxf,MzWarBajkowa,8,3.9868,6.2183,0.6543,-0.4568,0.8932
C1_XGBoost_pfxf,MzWarBajkowa,9,4.0559,6.3263,0.6411,-0.202,0.8915
C1_HGB_pfxf,MzWarBajkowa,9,4.1291,6.3975,0.633,-0.3002,0.8874
C1_XGBoost_pfxf,MzWarBajkowa,10,4.2853,6.7289,0.5938,0.095,0.8822
C1_HGB_pfxf,MzWarBajkowa,10,4.2221,6.5444,0.6157,0.0272,0.8863
C1_XGBoost_pfxf,MzWarBajkowa,11,4.3969,6.8462,0.5797,0.248,0.8774
C1_HGB_pfxf,MzWarBajkowa,11,4.3639,6.7661,0.5895,0.1358,0.8785
C1_XGBoost_pfxf,MzWarBajkowa,12,4.4691,6.9313,0.57,0.2687,0.8723
C1_HGB_pfxf,MzWarBajkowa,12,4.4261,6.8721,0.5773,0.2258,0.8745
C1_XGBoost_pfxf,MzWarBajkowa,13,4.5015,7.0021,0.5625,0.2451,0.8687
C1_HGB_pfxf,MzWarBajkowa,13,4.4794,6.9755,0.5658,0.2588,0.871
C1_XGBoost_pfxf,MzWarBajkowa,14,4.5493,7.1091,0.5506,0.3134,0.8666
C1_HGB_pfxf,MzWarBajkowa,14,4.4818,6.9755,0.5673,0.2836,0.8696
C1_XGBoost_pfxf,MzWarBajkowa,15,4.587,7.1459,0.5481,0.3705,0.8661
C1_HGB_pfxf,MzWarBajkowa,15,4.5213,7.0596,0.559,0.2908,0.8665
C1_XGBoost_pfxf,MzWarBajkowa,16,4.6475,7.2313,0.5386,0.449,0.8631
C1_HGB_pfxf,MzWarBajkowa,16,4.5755,7.1078,0.5542,0.328,0.8656
C1_XGBoost_pfxf,MzWarBajkowa,17,4.6399,7.1853,0.5446,0.4256,0.8635
C1_HGB_pfxf,MzWarBajkowa,17,4.6384,7.156,0.5483,0.3316,0.8626
C1_XGBoost_pfxf,MzWarBajkowa,18,4.6532,7.2021,0.5418,0.4263,0.862
C1_HGB_pfxf,MzWarBajkowa,18,4.5744,7.104,0.5542,0.2654,0.8631
C1_XGBoost_pfxf,MzWarBajkowa,19,4.6932,7.2239,0.5388,0.3518,0.8562
C1_HGB_pfxf,MzWarBajkowa,19,4.5848,7.0598,0.5595,0.1666,0.8582
C1_XGBoost_pfxf,MzWarBajkowa,20,4.6833,7.2001,0.5426,0.3426,0.8571
C1_HGB_pfxf,MzWarBajkowa,20,4.6042,7.0957,0.5558,0.2138,0.858
C1_XGBoost_pfxf,MzWarBajkowa,21,4.6836,7.1954,0.5439,0.3813,0.8579
C1_HGB_pfxf,MzWarBajkowa,21,4.6543,7.1331,0.5517,0.2209,0.8551
C1_XGBoost_pfxf,MzWarBajkowa,22,4.6856,7.207,0.5423,0.3447,0.8582
C1_HGB_pfxf,MzWarBajkowa,22,4.6326,7.1391,0.5509,0.167,0.8555
C1_XGBoost_pfxf,MzWarBajkowa,23,4.6738,7.1747,0.5457,0.2599,0.8574
C1_HGB_pfxf,MzWarBajkowa,23,4.6371,7.1712,0.5462,0.0134,0.8515
C1_XGBoost_pfxf,MzWarBajkowa,24,4.6891,7.2292,0.5376,0.2417,0.854
C1_HGB_pfxf,MzWarBajkowa,24,4.6443,7.1905,0.5425,0.0292,0.85
