Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C3_GNN_LSTM_pfxf,MzWarBajkowa,1,3.426,5.4249,0.7477,-1.0528,0.9116
C3_GNN_LSTM_pfxf,MzWarBajkowa,2,3.731,5.8226,0.7074,-0.8804,0.8962
C3_GNN_LSTM_pfxf,MzWarBajkowa,3,4.0227,6.2034,0.6643,-0.9081,0.8776
C3_GNN_LSTM_pfxf,MzWarBajkowa,4,4.2625,6.4777,0.6317,-0.6722,0.8651
C3_GNN_LSTM_pfxf,MzWarBajkowa,5,4.4717,6.648,0.6091,-0.3653,0.8569
C3_GNN_LSTM_pfxf,MzWarBajkowa,6,4.6346,6.8195,0.588,-0.1196,0.8502
C3_GNN_LSTM_pfxf,MzWarBajkowa,7,4.7749,6.9831,0.5651,0.1214,0.8445
C3_GNN_LSTM_pfxf,MzWarBajkowa,8,4.8158,7.0476,0.5546,0.2114,0.844
C3_GNN_LSTM_pfxf,MzWarBajkowa,9,4.8793,7.1365,0.5414,0.3768,0.8428
C3_GNN_LSTM_pfxf,MzWarBajkowa,10,4.7998,7.1389,0.5444,0.0174,0.8393
C3_GNN_LSTM_pfxf,MzWarBajkowa,11,4.7555,7.1685,0.5429,-0.2564,0.8362
C3_GNN_LSTM_pfxf,MzWarBajkowa,12,4.7679,7.2097,0.541,-0.3025,0.8343
C3_GNN_LSTM_pfxf,MzWarBajkowa,13,4.7582,7.235,0.5421,-0.5076,0.8311
C3_GNN_LSTM_pfxf,MzWarBajkowa,14,4.7126,7.1777,0.5513,-0.7651,0.8335
C3_GNN_LSTM_pfxf,MzWarBajkowa,15,4.6884,7.1746,0.5521,-0.9023,0.8319
C3_GNN_LSTM_pfxf,MzWarBajkowa,16,4.7197,7.1523,0.5549,-0.7196,0.8377
C3_GNN_LSTM_pfxf,MzWarBajkowa,17,4.701,7.1034,0.5606,-0.6199,0.8402
C3_GNN_LSTM_pfxf,MzWarBajkowa,18,4.6685,7.0664,0.5651,-0.631,0.8426
C3_GNN_LSTM_pfxf,MzWarBajkowa,19,4.6858,7.0096,0.5705,-0.2243,0.85
C3_GNN_LSTM_pfxf,MzWarBajkowa,20,4.6359,6.9505,0.5776,-0.3672,0.8508
C3_GNN_LSTM_pfxf,MzWarBajkowa,21,4.5871,6.905,0.5841,-0.5644,0.8517
C3_GNN_LSTM_pfxf,MzWarBajkowa,22,4.5724,6.8231,0.5943,-0.3377,0.8594
C3_GNN_LSTM_pfxf,MzWarBajkowa,23,4.5881,6.821,0.5956,-0.2094,0.8611
C3_GNN_LSTM_pfxf,MzWarBajkowa,24,4.559,6.7215,0.6069,-0.1709,0.8636
C3_Stacking_pfxf,MzWarBajkowa,1,1.6479,2.7315,0.9346,0.1756,0.983
C3_Stacking_pfxf,MzWarBajkowa,2,2.6642,4.1059,0.852,0.4641,0.9603
C3_Stacking_pfxf,MzWarBajkowa,3,3.4088,5.0335,0.7774,0.6706,0.9384
C3_Stacking_pfxf,MzWarBajkowa,4,3.9714,5.7023,0.7134,0.9569,0.918
C3_Stacking_pfxf,MzWarBajkowa,5,4.4561,6.2528,0.6545,1.1914,0.8978
C3_Stacking_pfxf,MzWarBajkowa,6,4.8683,6.7341,0.5979,1.5528,0.8824
C3_Stacking_pfxf,MzWarBajkowa,7,5.1743,7.0714,0.5552,1.7114,0.867
C3_Stacking_pfxf,MzWarBajkowa,8,5.3565,7.2669,0.5279,1.8085,0.8568
C3_Stacking_pfxf,MzWarBajkowa,9,5.5236,7.4,0.509,1.9819,0.8512
C3_Stacking_pfxf,MzWarBajkowa,10,5.6633,7.5453,0.4892,2.0737,0.8448
C3_Stacking_pfxf,MzWarBajkowa,11,5.7976,7.6955,0.469,2.1771,0.836
C3_Stacking_pfxf,MzWarBajkowa,12,5.9288,7.8575,0.4473,2.2632,0.8288
C3_Stacking_pfxf,MzWarBajkowa,13,6.0171,7.938,0.4377,2.3517,0.8267
C3_Stacking_pfxf,MzWarBajkowa,14,6.0784,8.0076,0.4298,2.4616,0.8245
C3_Stacking_pfxf,MzWarBajkowa,15,6.0884,8.0076,0.4326,2.5374,0.827
C3_Stacking_pfxf,MzWarBajkowa,16,6.0978,8.0243,0.4319,2.5467,0.8258
C3_Stacking_pfxf,MzWarBajkowa,17,6.1542,8.085,0.4234,2.6731,0.8245
C3_Stacking_pfxf,MzWarBajkowa,18,6.1339,8.0892,0.4219,2.6629,0.8216
C3_Stacking_pfxf,MzWarBajkowa,19,6.1231,8.086,0.4222,2.6111,0.8193
C3_Stacking_pfxf,MzWarBajkowa,20,6.1502,8.1327,0.4165,2.7182,0.8188
C3_Stacking_pfxf,MzWarBajkowa,21,6.0691,8.0556,0.4283,2.5591,0.8194
C3_Stacking_pfxf,MzWarBajkowa,22,6.0188,8.0145,0.434,2.4866,0.8193
C3_Stacking_pfxf,MzWarBajkowa,23,6.0219,8.0344,0.4303,2.5268,0.8187
C3_Stacking_pfxf,MzWarBajkowa,24,5.9747,8.0095,0.4324,2.3797,0.8154
