Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C3_Stacking_pfxf,MzPiasPulask,1,1.5659,2.9375,0.911,0.1144,0.9771
C3_Stacking_pfxf,MzPiasPulask,2,2.3943,4.1705,0.8205,0.2028,0.9529
C3_Stacking_pfxf,MzPiasPulask,3,2.8816,4.7337,0.7678,0.4875,0.9397
C3_Stacking_pfxf,MzPiasPulask,4,3.2381,5.2366,0.7143,0.5353,0.9256
C3_Stacking_pfxf,MzPiasPulask,5,3.4123,5.5523,0.6768,0.5425,0.9177
C3_Stacking_pfxf,MzPiasPulask,6,3.6464,5.7819,0.6473,0.7151,0.9108
C3_Stacking_pfxf,MzPiasPulask,7,3.8313,6.1022,0.608,0.7605,0.8982
C3_Stacking_pfxf,MzPiasPulask,8,4.0289,6.5094,0.5555,0.9623,0.8867
C3_Stacking_pfxf,MzPiasPulask,9,4.1248,6.7174,0.5263,1.0152,0.8761
C3_Stacking_pfxf,MzPiasPulask,10,4.194,6.7684,0.5194,1.1678,0.8755
C3_Stacking_pfxf,MzPiasPulask,11,4.3194,6.9623,0.4927,1.3979,0.8717
C3_Stacking_pfxf,MzPiasPulask,12,4.3313,6.8865,0.5054,1.4745,0.8756
C3_Stacking_pfxf,MzPiasPulask,13,4.4035,7.0629,0.4812,1.5061,0.8689
C3_Stacking_pfxf,MzPiasPulask,14,4.4738,7.2601,0.4533,1.5659,0.8656
C3_Stacking_pfxf,MzPiasPulask,15,4.5308,7.3319,0.4428,1.5957,0.8609
C3_Stacking_pfxf,MzPiasPulask,16,4.5492,7.2532,0.4549,1.6177,0.8629
C3_Stacking_pfxf,MzPiasPulask,17,4.5675,7.3608,0.4388,1.5751,0.8565
C3_Stacking_pfxf,MzPiasPulask,18,4.6517,7.6442,0.3949,1.7613,0.8493
C3_Stacking_pfxf,MzPiasPulask,19,4.658,7.5866,0.4043,1.7879,0.8526
C3_Stacking_pfxf,MzPiasPulask,20,4.6871,7.6928,0.3876,1.8339,0.8503
C3_Stacking_pfxf,MzPiasPulask,21,4.6951,7.6489,0.3947,1.7971,0.8509
C3_Stacking_pfxf,MzPiasPulask,22,4.7057,7.5929,0.4031,1.7887,0.8516
C3_Stacking_pfxf,MzPiasPulask,23,4.7003,7.6998,0.3854,1.6178,0.844
C3_Stacking_pfxf,MzPiasPulask,24,4.695,7.5602,0.4066,1.6485,0.8473
