Model,Station,Horizon,MAE,RMSE,R2,MBE,IA
C2_CNN_LSTM_pfxf,MzPiasPulask,1,3.0578,4.7245,0.7715,-0.7658,0.9341
C2_CNN_LSTM_pfxf,MzPiasPulask,2,3.3591,5.217,0.7212,-0.8439,0.9186
C2_CNN_LSTM_pfxf,MzPiasPulask,3,3.6543,5.5985,0.6775,-0.774,0.9054
C2_CNN_LSTM_pfxf,MzPiasPulask,4,3.853,5.8893,0.6411,-1.0332,0.8922
C2_CNN_LSTM_pfxf,MzPiasPulask,5,3.967,6.036,0.6205,-1.0528,0.8874
C2_CNN_LSTM_pfxf,MzPiasPulask,6,4.06,6.1351,0.6053,-0.7056,0.8884
C2_CNN_LSTM_pfxf,MzPiasPulask,7,4.085,6.1753,0.6009,-1.0108,0.8851
C2_CNN_LSTM_pfxf,MzPiasPulask,8,4.0883,6.2194,0.5964,-1.0015,0.8834
C2_CNN_LSTM_pfxf,MzPiasPulask,9,4.0823,6.2302,0.5945,-1.1608,0.8821
C2_CNN_LSTM_pfxf,MzPiasPulask,10,4.0739,6.2267,0.5951,-1.0713,0.8821
C2_CNN_LSTM_pfxf,MzPiasPulask,11,4.0501,6.188,0.601,-1.0367,0.8838
C2_CNN_LSTM_pfxf,MzPiasPulask,12,4.0918,6.2758,0.5908,-0.591,0.8862
C2_CNN_LSTM_pfxf,MzPiasPulask,13,4.0857,6.26,0.594,-0.7097,0.8853
C2_CNN_LSTM_pfxf,MzPiasPulask,14,4.1475,6.3497,0.5832,-0.4396,0.8845
C2_CNN_LSTM_pfxf,MzPiasPulask,15,4.2541,6.5116,0.5619,0.1333,0.8831
C2_CNN_LSTM_pfxf,MzPiasPulask,16,4.296,6.583,0.5523,0.1407,0.8808
C2_CNN_LSTM_pfxf,MzPiasPulask,17,4.3084,6.6202,0.5473,0.0843,0.8779
C2_CNN_LSTM_pfxf,MzPiasPulask,18,4.3446,6.7476,0.5297,0.2797,0.8755
C2_CNN_LSTM_pfxf,MzPiasPulask,19,4.2251,6.5526,0.5567,-0.2592,0.8764
C2_CNN_LSTM_pfxf,MzPiasPulask,20,4.1768,6.476,0.5673,-0.4511,0.8768
C2_CNN_LSTM_pfxf,MzPiasPulask,21,4.1742,6.4922,0.5652,-0.2871,0.8774
C2_CNN_LSTM_pfxf,MzPiasPulask,22,4.1842,6.5599,0.5561,0.032,0.8791
C2_CNN_LSTM_pfxf,MzPiasPulask,23,4.1683,6.5566,0.5562,0.1858,0.8802
C2_CNN_LSTM_pfxf,MzPiasPulask,24,4.3306,6.8856,0.5099,0.7605,0.8735
