Model,Horizon,MAE,RMSE,R2,MBE,IA
C2_CNN_LSTM_full,1,2.6749,3.7376,0.802,1.0914,0.9513
C2_CNN_LSTM_full,2,2.9796,4.2437,0.7446,1.1228,0.9367
C2_CNN_LSTM_full,3,3.3574,4.786,0.6748,1.4344,0.9201
C2_CNN_LSTM_full,4,3.7016,5.297,0.6009,1.7407,0.9042
C2_CNN_LSTM_full,5,4.0184,5.8045,0.5197,2.0493,0.888
C2_CNN_LSTM_full,6,4.2752,6.1773,0.4548,2.2763,0.8754
C2_CNN_LSTM_full,7,4.4343,6.4826,0.3992,2.4407,0.8662
C2_CNN_LSTM_full,8,4.4432,6.4176,0.4106,2.3333,0.866
C2_CNN_LSTM_full,9,4.3792,6.4004,0.413,2.171,0.8658
C2_CNN_LSTM_full,10,4.5776,6.6824,0.36,2.5065,0.8583
C2_CNN_LSTM_full,11,4.7035,6.8885,0.3205,2.7467,0.8533
C2_CNN_LSTM_full,12,4.6573,6.7515,0.348,2.6469,0.8556
C2_CNN_LSTM_full,13,4.8077,7.0102,0.2983,2.9028,0.8497
C2_CNN_LSTM_full,14,4.771,6.9122,0.3193,2.8621,0.8521
C2_CNN_LSTM_full,15,4.8337,7.0391,0.2953,2.9702,0.8501
C2_CNN_LSTM_full,16,4.7234,6.9051,0.3223,2.8106,0.8524
C2_CNN_LSTM_full,17,4.5524,6.6416,0.3732,2.4879,0.8589
C2_CNN_LSTM_full,18,4.6394,6.7975,0.3432,2.6377,0.8556
C2_CNN_LSTM_full,19,4.5777,6.7674,0.3487,2.5477,0.8563
C2_CNN_LSTM_full,20,4.4892,6.6488,0.3717,2.3641,0.859
C2_CNN_LSTM_full,21,4.4822,6.693,0.3639,2.3521,0.8583
C2_CNN_LSTM_full,22,4.2777,6.4582,0.4087,2.0375,0.8639
C2_CNN_LSTM_full,23,4.4727,6.7302,0.3588,2.4591,0.8573
C2_CNN_LSTM_full,24,4.3838,6.6583,0.3721,2.2841,0.8567
