Model,Horizon,MAE,RMSE,R2,MBE,IA
B3_GNN_LSTM_pfx,1,2.6808,3.7634,0.8001,1.108,0.9485
B3_GNN_LSTM_pfx,2,2.9189,4.1047,0.7617,0.9903,0.9368
B3_GNN_LSTM_pfx,3,3.2976,4.6137,0.6981,1.4227,0.9215
B3_GNN_LSTM_pfx,4,3.3926,4.7741,0.6756,1.2366,0.9133
B3_GNN_LSTM_pfx,5,3.5812,5.0683,0.6338,1.3232,0.9027
B3_GNN_LSTM_pfx,6,3.7398,5.2721,0.6031,1.4112,0.8947
B3_GNN_LSTM_pfx,7,3.8475,5.4769,0.5714,1.4385,0.8875
B3_GNN_LSTM_pfx,8,3.95,5.6096,0.55,1.511,0.8821
B3_GNN_LSTM_pfx,9,3.9897,5.6975,0.5358,1.4878,0.8792
B3_GNN_LSTM_pfx,10,4.2102,6.0255,0.4815,1.9359,0.8693
B3_GNN_LSTM_pfx,11,4.391,6.3144,0.4319,2.1922,0.862
B3_GNN_LSTM_pfx,12,4.3493,6.303,0.4361,2.0759,0.8623
B3_GNN_LSTM_pfx,13,4.3268,6.3051,0.4372,1.9614,0.8625
B3_GNN_LSTM_pfx,14,4.2555,6.1528,0.4652,1.8411,0.8661
B3_GNN_LSTM_pfx,15,4.2481,6.1786,0.4614,1.9149,0.867
B3_GNN_LSTM_pfx,16,4.257,6.2177,0.4549,1.9973,0.8663
B3_GNN_LSTM_pfx,17,4.1904,6.1191,0.4728,1.8895,0.8691
B3_GNN_LSTM_pfx,18,4.0701,5.9739,0.4975,1.6287,0.8723
B3_GNN_LSTM_pfx,19,4.0149,5.8256,0.5222,1.5415,0.8737
B3_GNN_LSTM_pfx,20,3.9155,5.7208,0.5397,1.299,0.8768
B3_GNN_LSTM_pfx,21,3.9135,5.7664,0.533,1.3003,0.8762
B3_GNN_LSTM_pfx,22,3.9573,5.7467,0.5372,1.4547,0.877
B3_GNN_LSTM_pfx,23,3.9506,5.7166,0.5429,1.4436,0.8775
B3_GNN_LSTM_pfx,24,3.8626,5.613,0.5587,1.2311,0.8783
B3_Stacking_pfx,1,1.1691,1.8843,0.9498,0.1829,0.9871
B3_Stacking_pfx,2,1.834,2.8256,0.887,0.378,0.9701
B3_Stacking_pfx,3,2.3225,3.4886,0.8277,0.5649,0.9533
B3_Stacking_pfx,4,2.6508,3.9772,0.7756,0.6842,0.9378
B3_Stacking_pfx,5,2.9326,4.3957,0.7254,0.7495,0.9219
B3_Stacking_pfx,6,3.1227,4.6451,0.6927,0.8401,0.9132
B3_Stacking_pfx,7,3.3061,4.8544,0.6638,0.9658,0.9044
B3_Stacking_pfx,8,3.4616,5.03,0.6388,1.1853,0.8984
B3_Stacking_pfx,9,3.5919,5.1619,0.6192,1.3094,0.8908
B3_Stacking_pfx,10,3.7408,5.3914,0.5846,1.2787,0.8786
B3_Stacking_pfx,11,3.8854,5.5105,0.5664,1.5639,0.8753
B3_Stacking_pfx,12,3.9816,5.6979,0.537,1.7019,0.8706
B3_Stacking_pfx,13,4.1187,5.8476,0.5133,1.7438,0.8579
B3_Stacking_pfx,14,4.1209,5.8398,0.5158,1.755,0.858
B3_Stacking_pfx,15,4.1579,5.821,0.5198,1.808,0.8606
B3_Stacking_pfx,16,4.2186,5.8985,0.5072,1.7977,0.8552
B3_Stacking_pfx,17,4.2874,6.0417,0.4831,1.9159,0.8531
B3_Stacking_pfx,18,4.2995,6.0644,0.4788,1.9415,0.8506
B3_Stacking_pfx,19,4.3194,6.0322,0.484,1.8837,0.8496
B3_Stacking_pfx,20,4.4115,6.1968,0.4556,1.9804,0.8426
B3_Stacking_pfx,21,4.4472,6.1902,0.4568,2.0407,0.8451
B3_Stacking_pfx,22,4.4083,6.0995,0.4726,1.9998,0.8451
B3_Stacking_pfx,23,4.3906,6.086,0.4748,1.9584,0.8429
B3_Stacking_pfx,24,4.3622,6.0922,0.4729,1.8598,0.8399
