Model,Horizon,MAE,RMSE,R2,MBE,IA
C3_GNN_LSTM_full,1,2.6808,3.7634,0.8001,1.108,0.9485
C3_GNN_LSTM_full,2,2.9189,4.1047,0.7617,0.9903,0.9368
C3_GNN_LSTM_full,3,3.2976,4.6137,0.6981,1.4227,0.9215
C3_GNN_LSTM_full,4,3.3926,4.7741,0.6756,1.2366,0.9133
C3_GNN_LSTM_full,5,3.5812,5.0683,0.6338,1.3232,0.9027
C3_GNN_LSTM_full,6,3.7398,5.2721,0.6031,1.4112,0.8947
C3_GNN_LSTM_full,7,3.8475,5.4769,0.5714,1.4385,0.8875
C3_GNN_LSTM_full,8,3.95,5.6096,0.55,1.511,0.8821
C3_GNN_LSTM_full,9,3.9897,5.6975,0.5358,1.4878,0.8792
C3_GNN_LSTM_full,10,4.2102,6.0255,0.4815,1.9359,0.8693
C3_GNN_LSTM_full,11,4.391,6.3144,0.4319,2.1922,0.862
C3_GNN_LSTM_full,12,4.3493,6.303,0.4361,2.0759,0.8623
C3_GNN_LSTM_full,13,4.3268,6.3051,0.4372,1.9614,0.8625
C3_GNN_LSTM_full,14,4.2555,6.1528,0.4652,1.8411,0.8661
C3_GNN_LSTM_full,15,4.2481,6.1786,0.4614,1.9149,0.867
C3_GNN_LSTM_full,16,4.257,6.2177,0.4549,1.9973,0.8663
C3_GNN_LSTM_full,17,4.1904,6.1191,0.4728,1.8895,0.8691
C3_GNN_LSTM_full,18,4.0701,5.9739,0.4975,1.6287,0.8723
C3_GNN_LSTM_full,19,4.0149,5.8256,0.5222,1.5415,0.8737
C3_GNN_LSTM_full,20,3.9155,5.7208,0.5397,1.299,0.8768
C3_GNN_LSTM_full,21,3.9135,5.7664,0.533,1.3003,0.8762
C3_GNN_LSTM_full,22,3.9573,5.7467,0.5372,1.4547,0.877
C3_GNN_LSTM_full,23,3.9506,5.7166,0.5429,1.4436,0.8775
C3_GNN_LSTM_full,24,3.8626,5.613,0.5587,1.2311,0.8783
C3_Stacking_full,1,1.1646,1.8748,0.9503,0.1779,0.9872
C3_Stacking_full,2,1.8296,2.8142,0.8879,0.3794,0.9702
C3_Stacking_full,3,2.3215,3.4882,0.8277,0.5681,0.9534
C3_Stacking_full,4,2.6582,3.991,0.7741,0.6953,0.9375
C3_Stacking_full,5,2.9226,4.3604,0.7298,0.7912,0.9236
C3_Stacking_full,6,3.1217,4.65,0.6921,0.8843,0.9136
C3_Stacking_full,7,3.2867,4.839,0.666,0.9849,0.9049
C3_Stacking_full,8,3.4959,5.1287,0.6245,1.2894,0.8964
C3_Stacking_full,9,3.6261,5.2628,0.6041,1.3971,0.8872
C3_Stacking_full,10,3.7143,5.3218,0.5952,1.402,0.8825
C3_Stacking_full,11,3.9164,5.5607,0.5585,1.7309,0.8773
C3_Stacking_full,12,3.9669,5.6932,0.5378,1.7448,0.8702
C3_Stacking_full,13,4.0984,5.8394,0.5147,1.7915,0.8608
C3_Stacking_full,14,4.1083,5.8187,0.5193,1.7829,0.8602
C3_Stacking_full,15,4.1288,5.8092,0.5217,1.9041,0.8654
C3_Stacking_full,16,4.2047,5.9376,0.5006,1.8904,0.8561
C3_Stacking_full,17,4.2865,6.0648,0.4791,2.0554,0.8546
C3_Stacking_full,18,4.3013,6.0833,0.4756,2.0449,0.8526
C3_Stacking_full,19,4.3814,6.2102,0.4532,2.0866,0.8463
C3_Stacking_full,20,4.3797,6.2073,0.4538,2.01,0.8401
C3_Stacking_full,21,4.414,6.2706,0.4426,2.1154,0.8412
C3_Stacking_full,22,4.421,6.2918,0.4388,2.1251,0.8399
C3_Stacking_full,23,4.3902,6.2296,0.4497,2.0902,0.8409
C3_Stacking_full,24,4.3261,6.0997,0.4716,1.8888,0.8394
