Model,Horizon,MAE,RMSE,R2,MBE,IA
Arch1_HGB,24,4.4993,6.2272,0.4493,0.8531,0.7979
Arch2_CNN_LSTM,1,2.7643,3.8313,0.7919,0.1568,0.9422
Arch2_CNN_LSTM,2,2.9177,4.0522,0.7671,0.5645,0.9367
Arch2_CNN_LSTM,3,3.0332,4.2512,0.7434,0.5325,0.9293
Arch2_CNN_LSTM,4,3.2691,4.6002,0.699,0.9004,0.9182
Arch2_CNN_LSTM,5,3.5452,5.0003,0.6436,1.1728,0.9025
Arch2_CNN_LSTM,6,3.6147,5.1635,0.6191,0.9524,0.8928
Arch2_CNN_LSTM,7,3.7666,5.3984,0.5834,0.847,0.8801
Arch2_CNN_LSTM,8,4.0875,5.7951,0.5194,1.3144,0.8641
Arch2_CNN_LSTM,9,4.2007,6.0067,0.483,1.334,0.854
Arch2_CNN_LSTM,10,4.482,6.4267,0.4081,1.6968,0.8405
Arch2_CNN_LSTM,11,4.6392,6.59,0.3781,1.895,0.8305
Arch2_CNN_LSTM,12,4.8169,6.8946,0.32,2.0834,0.821
Arch2_CNN_LSTM,13,4.8034,6.8706,0.326,1.8632,0.8179
Arch2_CNN_LSTM,14,4.9396,7.0862,0.2846,1.9757,0.8099
Arch2_CNN_LSTM,15,5.0486,7.1498,0.273,2.1282,0.8024
Arch2_CNN_LSTM,16,5.1088,7.2105,0.261,2.2039,0.7983
Arch2_CNN_LSTM,17,4.9533,6.9546,0.3127,1.7668,0.7987
Arch2_CNN_LSTM,18,4.8911,6.9049,0.3223,1.4978,0.7989
Arch2_CNN_LSTM,19,4.8889,6.8817,0.3265,1.4224,0.7973
Arch2_CNN_LSTM,20,4.8332,6.7475,0.3529,1.2539,0.794
Arch2_CNN_LSTM,21,4.855,6.807,0.342,1.2439,0.7931
Arch2_CNN_LSTM,22,4.7265,6.6645,0.3703,0.8643,0.7902
Arch2_CNN_LSTM,23,4.8413,6.7563,0.3538,1.1418,0.7846
Arch2_CNN_LSTM,24,4.8587,6.7798,0.349,1.0795,0.7789
Arch3_GNN_LSTM,1,2.8822,4.0307,0.7707,1.6339,0.9364
Arch3_GNN_LSTM,2,3.4341,4.651,0.694,2.3307,0.9201
Arch3_GNN_LSTM,3,3.439,4.7339,0.6821,2.0202,0.9128
Arch3_GNN_LSTM,4,3.5996,4.9865,0.6461,1.9863,0.9017
Arch3_GNN_LSTM,5,3.7779,5.2252,0.6108,2.0487,0.8906
Arch3_GNN_LSTM,6,3.9862,5.5251,0.5641,2.093,0.8766
Arch3_GNN_LSTM,7,3.9946,5.5716,0.5565,1.847,0.8705
Arch3_GNN_LSTM,8,4.1346,5.7679,0.5242,1.9452,0.8628
Arch3_GNN_LSTM,9,4.1364,5.7836,0.5217,1.652,0.855
Arch3_GNN_LSTM,10,4.2233,5.9649,0.4919,1.5997,0.8461
Arch3_GNN_LSTM,11,4.2481,6.0289,0.4821,1.4167,0.8388
