Model,Horizon,MAE,RMSE,R2,MBE,IA
B1_XGBoost_pfx,1,1.1401,1.841,0.952,0.0475,0.9876
B1_XGBoost_pfx,2,1.8209,2.8201,0.8875,0.2309,0.97
B1_XGBoost_pfx,3,2.2779,3.4256,0.8338,0.4047,0.9548
B1_XGBoost_pfx,4,2.611,3.8826,0.7862,0.5564,0.9408
B1_XGBoost_pfx,5,2.8641,4.2071,0.7485,0.6909,0.9295
B1_XGBoost_pfx,6,3.0937,4.5406,0.7064,0.7492,0.9157
B1_XGBoost_pfx,7,3.2555,4.7466,0.6786,0.8451,0.907
B1_XGBoost_pfx,8,3.4791,5.0282,0.639,1.1988,0.8977
B1_XGBoost_pfx,9,3.5827,5.126,0.6245,1.2716,0.8941
B1_XGBoost_pfx,10,3.7033,5.2773,0.602,1.3821,0.8879
B1_XGBoost_pfx,11,3.7913,5.3756,0.5874,1.4068,0.8818
B1_XGBoost_pfx,12,3.8636,5.4362,0.5786,1.495,0.8793
B1_XGBoost_pfx,13,3.9164,5.5156,0.567,1.5308,0.876
B1_XGBoost_pfx,14,3.9924,5.6001,0.5547,1.5725,0.8715
B1_XGBoost_pfx,15,4.0457,5.6783,0.543,1.6645,0.8685
B1_XGBoost_pfx,16,4.1222,5.7599,0.53,1.724,0.8645
B1_XGBoost_pfx,17,4.138,5.7787,0.5271,1.7955,0.8642
B1_XGBoost_pfx,18,4.1594,5.7874,0.5253,1.785,0.8628
B1_XGBoost_pfx,19,4.2007,5.8613,0.5129,1.7743,0.8577
B1_XGBoost_pfx,20,4.2357,5.9267,0.502,1.8421,0.8573
B1_XGBoost_pfx,21,4.2434,5.9129,0.5044,1.8536,0.8579
B1_XGBoost_pfx,22,4.2033,5.8965,0.5071,1.7961,0.8571
B1_XGBoost_pfx,23,4.1914,5.8865,0.5086,1.7396,0.8559
B1_XGBoost_pfx,24,4.1783,5.8561,0.513,1.6605,0.8557
B1_HGB_pfx,1,1.133,1.8393,0.9521,0.0434,0.9876
B1_HGB_pfx,2,1.8002,2.7816,0.8905,0.2178,0.9708
B1_HGB_pfx,3,2.2668,3.4136,0.835,0.3869,0.955
B1_HGB_pfx,4,2.5925,3.8498,0.7898,0.5351,0.9419
B1_HGB_pfx,5,2.8763,4.2506,0.7432,0.6896,0.9289
B1_HGB_pfx,6,3.0596,4.4722,0.7152,0.8134,0.9194
B1_HGB_pfx,7,3.279,4.7838,0.6735,0.9428,0.9069
B1_HGB_pfx,8,3.4629,5.0019,0.6428,1.1593,0.8989
B1_HGB_pfx,9,3.5504,5.1324,0.6235,1.2124,0.8935
B1_HGB_pfx,10,3.6421,5.2323,0.6087,1.1614,0.8868
B1_HGB_pfx,11,3.7834,5.4041,0.583,1.4266,0.8827
B1_HGB_pfx,12,3.8726,5.5162,0.5661,1.4597,0.8759
B1_HGB_pfx,13,3.9363,5.573,0.5579,1.4974,0.873
B1_HGB_pfx,14,4.0184,5.6819,0.5416,1.5455,0.869
B1_HGB_pfx,15,4.093,5.7851,0.5257,1.6565,0.8646
B1_HGB_pfx,16,4.0322,5.7077,0.5385,1.4612,0.8621
B1_HGB_pfx,17,4.1137,5.8063,0.5226,1.6332,0.8618
B1_HGB_pfx,18,4.142,5.8588,0.5136,1.5983,0.8575
B1_HGB_pfx,19,4.2041,5.9143,0.504,1.6809,0.8572
B1_HGB_pfx,20,4.1473,5.856,0.5138,1.5524,0.8548
B1_HGB_pfx,21,4.1959,5.8852,0.509,1.7173,0.8575
B1_HGB_pfx,22,4.1598,5.8482,0.5152,1.614,0.8544
B1_HGB_pfx,23,4.1514,5.8381,0.5167,1.5045,0.8523
B1_HGB_pfx,24,4.1161,5.8449,0.5148,1.4246,0.8515
